Members Expense Disclosure - January to March 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
, Carter David ," 10,069 ", - ," 9,207 ", 157 ," 19,433 ","7,575",,,,,,,,,,,,,,,,,,,,,,,
, Coleman Jonathan , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Collins Judith , - , - , 582 , - , 582 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Dean Jacqui ," 4,000 ", 602 ," 5,985 "," 7,304 "," 17,891 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, English Bill , - , - ," 3,114 ", 197 ," 3,310 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Finlayson Chris , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Foss Craig , - , - ," 1,479 ", - ," 1,479 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Foster-Bell Paul , - ," 3,485 "," 6,465 "," 2,782 "," 12,732 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Goldsmith Paul ," 4,952 ", 251 ," 3,914 "," 1,853 "," 10,970 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Goodhew Jo , - , - ," 1,277 "," 2,642 "," 3,919 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Groser Tim , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Guy Nathan , - , - , 998 , - , 998 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hauiti Claudette ," 5,262 "," 1,009 "," 9,556 "," 6,152 "," 21,978 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hayes Joanne ," 2,622 ", 504 ," 2,477 "," 2,321 "," 7,923 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hayes John ," 5,635 ", 239 ," 3,598 "," 5,475 "," 14,947 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Heatley Philip ," 5,217 ", 274 ," 7,249 "," 3,467 "," 16,208 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Henare Tau ," 5,217 ", 139 ," 5,303 "," 5,133 "," 15,792 "," 11,412 ",,,,,,,,,,,,,,,,,,,,,,,
, Hutchison Paul ," 5,217 ", 278 ," 4,881 "," 7,435 "," 17,812 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Joyce Steven , - , - , 671 , - , 671 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Kaye Nikki , - , - , - , 31 , 31 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Key John , - , - ," 1,017 ", - ," 1,017 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, King Colin ," 5,783 ", 222 ," 7,306 "," 4,116 "," 17,427 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Lee Melissa ," 5,600 ", 139 ," 3,752 "," 4,227 "," 13,718 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Lotu-liga Peseta Sam ," 1,739 ", - ," 3,499 "," 2,257 "," 7,495 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Macindoe Tim ," 3,074 ", 139 ," 3,947 "," 3,176 "," 10,336 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, McClay Todd , - , - , 369 ," 9,220 "," 9,589 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, McCully Murray , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, McKelvie Ian ," 5,603 ", 278 ," 3,037 "," 4,826 "," 13,745 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Mitchell Mark ," 2,174 ", - ," 5,090 "," 4,955 "," 12,219 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ngaro Alfred ," 6,000 ", - ," 10,194 "," 6,162 "," 22,356 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
