Members Expense Disclosure - 1 April to 30 June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
, Borrows Chester , - , - ," 2,191 ", - ," 2,191 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bridges Simon , - , - , 363 , - , 363 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Brownlee Gerry , - , - ," 3,165 ", - ," 3,165 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Calder Cam ," 4,368 ", - ," 5,725 "," 8,491 "," 18,583 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Carter David ," 8,630 ", - ," 7,465 ", 524 ," 16,619 ",477 ,,,,,,,,,,,,,,,,,,,,,,,
, Coleman Jonathan , - , - ," 1,215 ", - ," 1,215 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Collins Judith , - , - , 671 , - , 671 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Dean Jacqui ," 8,000 "," 1,809 "," 12,870 "," 10,983 "," 33,662 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, English Bill , - , - ," 2,785 ", - ," 2,785 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Finlayson Chris , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Foss Craig , - , - ," 2,378 ", - ," 2,378 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Foster-Bell Paul , - ," 1,510 "," 5,604 "," 5,917 "," 13,032 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Goldsmith Paul ," 5,240 ", 160 ," 8,090 "," 5,820 "," 19,309 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Goodhew Jo , - , - ," 1,936 ", - ," 1,936 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Groser Tim , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Guy Nathan , - , - , 806 , - , 806 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hauiti Claudette ," 4,487 "," 1,047 "," 16,421 "," 8,868 "," 30,824 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hayes Joanne ," 6,422 ", - ," 8,191 "," 10,360 "," 24,974 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hayes John ," 5,217 ", 574 , 946 ," 2,868 "," 9,606 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Heatley Philip ," 5,326 ", - ," 17,572 "," 7,547 "," 30,445 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Henare Tau ," 3,413 ", - ," 6,341 "," 7,718 "," 17,473 ","1,104 ",,,,,,,,,,,,,,,,,,,,,,,
, Hutchison Paul ," 5,217 ", 139 ," 6,199 "," 6,487 "," 18,043 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Joyce Steven , - , - , 671 , - , 671 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Kaye Nikki , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Key John , - , - ," 2,609 ", - ," 2,609 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, King Colin ," 3,557 ", 970 ," 9,106 "," 5,275 "," 18,907 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Lee Melissa ," 4,800 ", 408 ," 6,339 "," 7,973 "," 19,520 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Lotu-liga Peseta Sam , - , - ," 2,973 ", 102 ," 3,075 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Macindoe Tim ," 2,609 ", - ," 5,061 "," 3,941 "," 11,610 ","11,506 ",,,,,,,,,,,,,,,,,,,,,,,
, McClay Todd , - , - ," 1,088 ", - ," 1,088 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, McCully Murray , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, McKelvie Ian ," 4,803 ", 491 , 558 ," 7,501 "," 13,352 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Mitchell Mark ," 7,735 ", - ," 8,424 "," 7,131 "," 23,291 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ngaro Alfred ," 5,735 ", 278 ," 9,238 "," 18,148 "," 33,399 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, O'Connor Simon ," 4,734 ", 91 ," 6,676 "," 6,682 "," 18,184 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Parata Hekia , - , - , 455 , - , 455 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ross Jami-Lee ," 5,240 ", - ," 4,867 "," 6,167 "," 16,273 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Roy Eric ," 3,745 ", 509 ," 10,491 "," 1,863 "," 16,608 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ryall Tony , - , - ," 8,013 ", - ," 8,013 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sabin Mike ," 4,797 "," 1,772 "," 12,278 "," 12,915 "," 31,762 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Shanks Katrina , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
